Muscle_Group,Exercise,Difficulty_Level,Equipment_Required,Target_Intensity,Primary_Muscle_Group,Secondary_Muscle_Group,Exercise_Duration,Recovery_Time,Exercise_Type,Calories_Burned,Exercise_Progression,Injury_Risk_Level
Cardio,Short Stride Run,Beginner,None,Low,Cardio,None,10 minutes,2 minutes,Aerobic,100,None,Low
Erector Spinae,Hyperextension,Intermediate,Hyperextension Bench,Moderate,Lower Back,Glutes,15 minutes,3 minutes,Strength,150,Add weights,Moderate
Abs,Reverse Plank,Beginner,None,Low,Core,None,5 minutes,1 minute,Isometric,50,Increase duration,Low
Shoulders,Dumbbell Lying One-Arm Rear Lateral Raise,Intermediate,Dumbbell,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,80,Increase weight,Low
Shoulders,Lateral Raise Machine,Beginner,Lateral Raise Machine,Low,Shoulders,None,10 minutes,2 minutes,Strength,70,Increase resistance,Low
Shoulders,Scott Press,Advanced,Dumbbell,High,Shoulders,Triceps,12 minutes,3 minutes,Strength,120,Increase weight,Moderate
Shoulders,Band Pull-Apart,Beginner,Resistance Band,Low,Shoulders,Upper Back,8 minutes,1 minute,Strength,60,Increase band tension,Low
Shoulders,Bent Over Reverse Cable Fly,Intermediate,Cable Machine,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Shoulders,Bent-Over Barbell Reverse Raise,Advanced,Barbell,High,Shoulders,Rear Deltoid,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Shoulders,Weighted Round Arm,Intermediate,Dumbbell,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,85,Increase weight,Low
Shoulders,Weight Plate Front Raise,Intermediate,Weight Plate,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Chest,Dumbbell Upward Fly,Intermediate,Dumbbell,Moderate,Chest,Shoulders,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Shoulders,Two Arm Cable Lateral Raise,Intermediate,Cable Machine,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Full Body,Landmine Squat to Press,Advanced,Landmine,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,Moderate
Shoulders,Cable Shoulder Press,Intermediate,Cable Machine,Moderate,Shoulders,Triceps,12 minutes,3 minutes,Strength,110,Increase resistance,Moderate
Shoulders,Barbell Rear Delt Raise,Advanced,Barbell,High,Shoulders,Rear Deltoid,12 minutes,3 minutes,Strength,120,Increase weight,Moderate
Shoulders,Double Cable Front Raise,Intermediate,Cable Machine,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Hip,Standing Hip Extension,Beginner,None,Low,Hips,Glutes,8 minutes,1 minute,Strength,60,Increase duration,Low
Shoulders,Standing Smith Machine Shoulder Press,Intermediate,Smith Machine,Moderate,Shoulders,Triceps,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Shoulders,Dumbbell W Press,Intermediate,Dumbbell,Moderate,Shoulders,Triceps,10 minutes,2 minutes,Strength,90,Increase weight,Low
Shoulders,Dumbbell One Arm Shoulder Press,Intermediate,Dumbbell,Moderate,Shoulders,Triceps,10 minutes,2 minutes,Strength,90,Increase weight,Low
Shoulders,Dumbbell Scaption,Intermediate,Dumbbell,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,85,Increase weight,Low
